PLAYER NAME,AVG_ROUND_3_SCORING_AVERAGE,TOTAL STROKES_ROUND_3_SCORING_AVERAGE,TOTAL ROUNDS_ROUND_3_SCORING_AVERAGE,YEAR,AVG_SCORING_AVERAGE_BEFORE_CUT,TOTAL STROKES_SCORING_AVERAGE_BEFORE_CUT,TOTAL ROUNDS_SCORING_AVERAGE_BEFORE_CUT,ROUNDS_PUTTING,AVERAGE_PUTTING,TOTAL SG:PUTTING_PUTTING,MEASURED ROUNDS_PUTTING,ROUNDS_OFF-THE-TEE,AVERAGE_OFF-THE-TEE,TOTAL SG:OTT_OFF-THE-TEE,MEASURED ROUNDS_OFF-THE-TEE,ROUNDS_TEE-TO-GREEN,AVERAGE_TEE-TO-GREEN,SG:OTT_TEE-TO-GREEN,SG:APR_TEE-TO-GREEN,SG:ARG_TEE-TO-GREEN,MEASURED ROUNDS_TEE-TO-GREEN,AVG_FINAL_ROUND_SCORING_AVERAGE,TOTAL STROKES_FINAL_ROUND_SCORING_AVERAGE,TOTAL ROUNDS_FINAL_ROUND_SCORING_AVERAGE,ROUNDS_AROUND-THE-GREEN,AVERAGE_AROUND-THE-GREEN,TOTAL SG:ARG_AROUND-THE-GREEN,MEASURED ROUNDS_AROUND-THE-GREEN,ROUNDS_APPROACH-THE-GREEN,AVERAGE_APPROACH-THE-GREEN,TOTAL SG:APP_APPROACH-THE-GREEN,MEASURED ROUNDS_APPROACH-THE-GREEN,TOP 10_TOP_10_FINISHES,1ST_TOP_10_FINISHES,2ND_TOP_10_FINISHES,3RD_TOP_10_FINISHES,MONEY_CAREER_MONEY_LEADERS,RANK_OFFICIAL_WORLD_GOLF_RANKING,ROWAN SCORE,ALL-AROUND_RANKING_DIFF,OFFICIAL_WORLD_GOLF_RANKING_DIFF
David Toms,67.0,134,2,2004,72.9,729,10,17.0,-0.782,-10.947,14.0,17.0,0.103,1.446,14.0,17.0,0.776,0.103,0.836,-0.163,14.0,70.0,140.0,2.0,17.0,-0.163,-2.282,14.0,17.0,0.836,11.7,14.0,2.0,0.0,0.0,0.0,16915009.0,15.0,0.0,223.0,-15.700000000000017
Peter Lonard,67.5,135,2,2004,72.9,729,10,16.0,0.029,0.399,14.0,16.0,0.372,5.209,14.0,16.0,-0.003,0.372,-0.53,0.155,14.0,72.0,144.0,2.0,16.0,0.155,2.174,14.0,16.0,-0.53,-7.423,14.0,1.0,0.0,0.0,0.0,3154842.0,34.0,0.0,-45.58855799373043,2.9899999999999807
Retief Goosen,67.6,338,5,2004,69.88,1118,16,26.0,-0.142,-3.132,22.0,26.0,0.484,10.637,22.0,26.0,1.225,0.484,0.376,0.365,22.0,68.4,342.0,5.0,26.0,0.365,8.027,22.0,26.0,0.376,8.281,22.0,4.0,0.0,0.0,1.0,8158261.0,10.0,-19.0,29.0,-20.810000000000002
Stuart Appleby,68.0,272,4,2004,69.25,831,12,22.0,-0.289,-5.487,19.0,22.0,0.437,8.294,19.0,22.0,1.778,0.437,0.702,0.64,19.0,71.75,287.0,4.0,22.0,0.64,12.152,19.0,22.0,0.702,13.329,19.0,3.0,1.0,1.0,1.0,12304392.0,9.0,-13.0,59.0,30.97999999999996
Vijay Singh,68.14,477,7,2004,69.12,1175,17,32.0,0.015,0.415,27.0,32.0,0.568,15.338,27.0,32.0,1.747,0.568,0.941,0.238,27.0,70.0,490.0,7.0,32.0,0.238,6.422,27.0,32.0,0.941,25.394,27.0,4.0,1.0,1.0,1.0,28114896.0,2.0,-26.0,7.0,-9.480000000000018
Jonathan Kaye,68.33,410,6,2004,69.78,1256,18,30.0,0.133,3.317,25.0,30.0,0.393,9.826,25.0,30.0,0.752,0.393,0.171,0.188,25.0,71.67,430.0,6.0,30.0,0.188,4.697,25.0,30.0,0.171,4.283,25.0,2.0,1.0,0.0,0.0,7842589.0,17.0,0.0,83.0,-13.569999999999993
Adam Scott,68.33,205,3,2004,70.8,708,10,19.0,0.582,9.308,16.0,19.0,0.092,1.469,16.0,19.0,0.918,0.092,1.089,-0.263,16.0,69.67,209.0,3.0,19.0,-0.263,-4.214,16.0,19.0,1.089,17.431,16.0,4.0,1.0,0.0,1.0,3706119.0,12.0,0.0,-399.58855799373043,98.55999999999997
Bob Estes,68.5,137,2,2004,71.71,1004,14,19.0,0.137,1.781,13.0,19.0,-0.536,-6.964,13.0,19.0,-0.37,-0.536,-0.187,0.352,13.0,69.0,138.0,2.0,19.0,0.352,4.578,13.0,19.0,-0.187,-2.428,13.0,0.0,0.0,0.0,0.0,12372604.0,57.0,-5.0,103.0,-5.780000000000001
Jay Haas,68.67,412,6,2004,68.93,965,14,26.0,-0.014,-0.284,21.0,26.0,0.136,2.846,21.0,26.0,1.608,0.136,0.831,0.641,21.0,69.83,419.0,6.0,26.0,0.641,13.455,21.0,26.0,0.831,17.459,21.0,3.0,0.0,0.0,1.0,12505886.0,22.0,-8.0,-24.0,4.310000000000002
Jeff Maggert,68.67,206,3,2004,70.64,989,14,19.0,0.036,0.603,17.0,19.0,-0.018,-0.305,17.0,19.0,0.763,-0.018,0.677,0.104,17.0,71.33,214.0,3.0,19.0,0.104,1.768,17.0,19.0,0.677,11.509,17.0,2.0,0.0,1.0,0.0,11475629.0,85.0,0.0,56.0,0.7800000000000011
Davis Love III,68.83,413,6,2004,70.62,918,13,29.0,0.119,2.495,21.0,29.0,0.493,10.349,21.0,29.0,0.846,0.493,0.045,0.308,21.0,70.6,353.0,5.0,29.0,0.308,6.464,21.0,29.0,0.045,0.95,21.0,4.0,0.0,2.0,1.0,27920957.0,4.0,-23.0,80.0,-13.479999999999961
Phil Mickelson,68.86,482,7,2004,68.24,1160,17,33.0,0.354,8.131,23.0,33.0,0.506,11.633,23.0,33.0,2.21,0.506,1.206,0.498,23.0,70.29,492.0,7.0,33.0,0.498,11.446,23.0,33.0,1.206,27.745,23.0,7.0,1.0,0.0,2.0,26091706.0,8.0,-42.0,-61.0,19.81000000000003
Mike Weir,69.0,414,6,2004,69.47,1181,17,29.0,0.746,16.415,22.0,29.0,0.139,3.06,22.0,29.0,0.749,0.139,0.366,0.244,22.0,71.17,427.0,6.0,29.0,0.244,5.361,22.0,29.0,0.366,8.056,22.0,3.0,1.0,0.0,0.0,14304687.0,5.0,-4.0,85.0,-4.28000000000003
Kenny Perry,69.2,346,5,2004,70.35,1196,17,29.0,0.259,5.968,23.0,29.0,0.415,9.552,23.0,29.0,0.511,0.415,0.236,-0.141,23.0,71.8,359.0,5.0,29.0,-0.141,-3.246,23.0,29.0,0.236,5.436,23.0,3.0,0.0,0.0,1.0,14842885.0,11.0,0.0,-57.0,24.480000000000018
Justin Rose,69.25,277,4,2004,71.0,568,8,17.0,-0.802,-12.835,16.0,17.0,0.156,2.498,16.0,17.0,1.095,0.156,0.901,0.037,16.0,75.25,301.0,4.0,17.0,0.037,0.597,16.0,17.0,0.901,14.422,16.0,0.0,0.0,0.0,0.0,852377.0,67.0,-16.0,239.41144200626957,1.4199999999999875
Robert Allenby,69.4,347,5,2004,70.58,847,12,24.0,-0.057,-1.19,21.0,24.0,0.342,7.18,21.0,24.0,0.847,0.342,0.734,-0.229,21.0,71.2,356.0,5.0,24.0,-0.229,-4.801,21.0,24.0,0.734,15.412,21.0,1.0,0.0,0.0,0.0,9738726.0,18.0,0.0,66.0,-5.990000000000009
Chad Campbell,70.0,560,8,2004,70.2,1404,20,38.0,0.145,4.489,31.0,38.0,0.086,2.66,31.0,38.0,0.78,0.086,0.507,0.188,31.0,70.75,566.0,8.0,38.0,0.188,5.823,31.0,38.0,0.507,15.707,31.0,3.0,1.0,0.0,0.0,6333444.0,13.0,0.0,-114.0,66.38000000000002
Chris Riley,70.0,350,5,2004,70.19,1123,16,26.0,0.271,5.701,21.0,26.0,-0.301,-6.33,21.0,26.0,0.392,-0.301,0.349,0.345,21.0,68.8,344.0,5.0,26.0,0.345,7.244,21.0,26.0,0.349,7.32,21.0,2.0,0.0,1.0,0.0,7160048.0,25.0,-7.0,55.0,-3.640000000000015
